Date,Opp,pitcher,code,Dec_1,DR_1,H_1,ER_1,BB_1,SO_1,HR_1,HBP_1,FIP_1,GSc_1,Outs_1,points_1,QS_1,bucket_1,Dec_4,DR_4,H_4,ER_4,BB_4,SO_4,HR_4,HBP_4,FIP_4,GSc_4,Outs_4,points_4,QS_4,bucket_4,Dec_all,DR_all,H_all_pitcher,ER_all,BB_all_pitcher,SO_all_pitcher,HR_all_pitcher,HBP_all,FIP_all,GSc_all,Outs_all,points_all,QS_all,bucket_all,PA_30,R_30,H_30,HR_30,BB_30,SO_30,OBP_30,SLG_30,LOB_30,Team,PA_all,R_all,H_all_opp,HR_all_opp,BB_all_opp,SO_all_opp,OBP_all,SLG_all,LOB_all
2023-09-12,SDP,Lance Lynn,lynnla01,-1.0,5.0,7.0,8.0,3.0,1.0,3.0,0.0,5.56,16.0,14.0,-14.0,0.0,.<=0,-0.25,5.5,7.0,4.5,1.75,1.5,2.0,0.25,5.2425,36.25,16.5,-0.75,0.5,.<=0,-0.037037037037037035,4.888888888888889,6.222222222222222,3.925925925925926,1.9259259259259258,6.148148148148148,1.4444444444444444,0.25925925925925924,5.356296296296296,45.48148148148148,17.11111111111111,6.888888888888889,0.37037037037037035,0<.<=10,37.36666666666667,4.666666666666667,8.2,1.3,3.7666666666666666,7.4,0.3256666666666667,0.4099,6.533333333333333,SDP,37.95172413793104,4.593103448275862,8.0,1.289655172413793,4.0137931034482754,8.096551724137932,0.3182275862068965,0.398551724137931,6.958620689655173
2023-09-08,OAK,Jordan Montgomery,montgjo01,0.0,5.0,7.0,6.0,2.0,0.0,1.0,0.0,3.63,21.0,11.0,-10.0,0.0,.<=0,0.25,5.0,5.25,2.5,1.25,4.75,0.25,0.0,3.5699999999999994,53.75,17.25,11.25,0.5,10<.<=20,-0.11538461538461539,4.884615384615385,5.538461538461538,2.1923076923076925,1.5769230769230769,5.1923076923076925,0.5769230769230769,0.15384615384615385,3.382307692307692,53.88461538461539,17.423076923076923,10.615384615384615,0.6153846153846154,10<.<=20,36.23333333333333,4.066666666666666,7.666666666666667,1.3666666666666667,2.3666666666666667,8.733333333333333,0.3008,0.3651666666666667,5.933333333333334,OAK,36.99285714285714,3.678571428571429,7.378571428571429,1.05,3.1,9.092857142857143,0.3015,0.3588785714285714,6.5285714285714285
2023-09-12,HOU,JP Sears,searsjp01,1.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,5.21,54.0,15.0,11.0,0.0,10<.<=20,0.0,4.75,6.5,3.5,2.5,4.5,1.25,0.25,5.2250000000000005,43.25,15.75,4.0,0.25,0<.<=10,-0.25925925925925924,4.7407407407407405,5.037037037037037,2.7037037037037037,1.5555555555555556,5.037037037037037,1.1111111111111112,0.5555555555555556,5.256666666666667,51.370370370370374,16.333333333333332,8.037037037037036,0.2962962962962963,0<.<=10,41.16666666666666,6.566666666666666,10.866666666666667,1.6666666666666667,3.8,6.5,0.3273000000000001,0.4245,8.133333333333333,HOU,38.62758620689655,5.172413793103448,8.937931034482759,1.3655172413793104,3.406896551724138,7.655172413793103,0.3204275862068966,0.3955931034482758,6.9862068965517246
2023-09-12,CHW,Brady Singer,singebr01,0.0,10.0,9.0,6.0,1.0,2.0,3.0,0.0,4.28,26.0,15.0,-5.0,0.0,.<=0,-0.5,6.0,7.25,4.0,1.25,4.75,1.5,0.25,4.0675,39.0,15.0,1.5,0.25,0<.<=10,-0.11538461538461539,4.961538461538462,6.269230769230769,3.3461538461538463,1.6153846153846154,4.769230769230769,0.7307692307692307,0.3076923076923077,4.525769230769232,46.46153846153846,16.53846153846154,6.076923076923077,0.34615384615384615,0<.<=10,36.333333333333336,4.0,8.4,1.0666666666666669,1.9333333333333331,8.366666666666667,0.2948666666666666,0.3879333333333333,5.7,CHW,37.10489510489511,4.083916083916084,8.167832167832168,1.0909090909090908,2.3426573426573425,8.783216783216783,0.3003286713286713,0.3935454545454546,6.230769230769231
2023-09-12,ATL,Zack Wheeler,wheelza01,1.0,4.0,1.0,0.0,2.0,7.0,0.0,0.0,2.93,75.0,18.0,25.0,1.0,20<.<=30,0.25,4.5,4.0,2.0,0.75,8.0,0.5,0.0,2.9825,65.75,19.5,19.5,0.75,10<.<=20,0.2222222222222222,4.851851851851852,5.148148148148148,2.2962962962962963,1.1481481481481481,6.851851851851852,0.5555555555555556,0.2962962962962963,2.807777777777778,58.629629629629626,18.40740740740741,14.74074074074074,0.7037037037037037,10<.<=20,38.93333333333333,6.333333333333333,9.9,2.0,3.3,6.9,0.3443999999999999,0.5006666666666667,6.466666666666667,ATL,38.395833333333336,5.840277777777778,9.458333333333334,1.930555555555556,3.3472222222222223,7.902777777777778,0.340875,0.4761111111111111,6.430555555555555
2023-09-12,MIA,Freddy Peralta,peralfr01,0.0,4.0,4.0,3.0,1.0,4.0,1.0,0.0,3.82,51.0,16.0,9.0,0.0,0<.<=10,0.5,5.0,3.0,1.75,1.5,8.5,0.75,0.0,3.8275,63.25,16.75,18.75,0.25,10<.<=20,0.07692307692307693,5.0,4.384615384615385,2.5,1.9615384615384615,7.076923076923077,0.8461538461538461,0.23076923076923078,4.043461538461538,55.53846153846154,16.653846153846153,12.384615384615385,0.5,10<.<=20,36.63333333333333,4.2,8.066666666666666,1.3666666666666667,2.2,7.6,0.3155666666666666,0.4018666666666667,5.8,MIA,37.25694444444444,4.083333333333333,8.770833333333334,1.0138888888888888,2.548611111111111,7.895833333333333,0.3124583333333333,0.3943541666666667,6.694444444444445
2023-09-06,CLE,Joe Ryan,ryanjo04,1.0,5.0,3.0,1.0,0.0,7.0,1.0,1.0,4.12,69.0,18.0,22.0,1.0,20<.<=30,-0.25,9.5,6.0,3.25,1.25,6.25,2.0,0.5,4.0425,45.5,14.0,5.25,0.25,0<.<=10,0.043478260869565216,5.608695652173913,5.3478260869565215,2.739130434782609,1.0869565217391304,6.956521739130435,1.1304347826086956,0.2608695652173913,3.2026086956521738,54.52173913043478,17.08695652173913,12.0,0.5217391304347826,10<.<=20,37.2,4.0,8.133333333333333,0.8,2.566666666666667,7.833333333333333,0.3115666666666666,0.3795,6.5,CLE,37.58273381294964,4.071942446043166,8.474820143884893,0.762589928057554,2.856115107913669,7.129496402877698,0.3099352517985611,0.3614460431654676,6.83453237410072
2023-09-12,OAK,Justin Verlander,verlaju01,1.0,4.0,4.0,1.0,1.0,6.0,1.0,0.0,4.03,68.0,21.0,23.0,1.0,20<.<=30,0.5,4.25,4.75,1.75,1.25,6.25,1.25,1.0,3.8600000000000003,60.0,18.0,15.25,0.5,10<.<=20,0.22727272727272727,4.681818181818182,5.136363636363637,2.1363636363636362,1.7727272727272727,5.181818181818182,0.6363636363636364,0.22727272727272727,4.180454545454546,56.04545454545455,17.90909090909091,12.363636363636363,0.5454545454545454,10<.<=20,36.8,4.133333333333334,7.9,1.4666666666666666,2.466666666666667,9.166666666666666,0.3007666666666667,0.3666999999999999,6.233333333333333,OAK,37.03472222222222,3.6875,7.402777777777778,1.0694444444444444,3.125,9.15972222222222,0.3014930555555556,0.3592708333333333,6.555555555555555
2023-09-13,CIN,Eduardo Rodriguez,rodried05,1.0,5.0,4.0,3.0,4.0,4.0,1.0,0.0,3.43,52.0,18.0,11.0,1.0,10<.<=20,0.5,5.25,4.75,2.25,2.75,4.5,0.5,0.25,3.3099999999999996,54.25,18.0,11.75,0.75,10<.<=20,0.3,5.15,5.05,1.9,1.75,5.75,0.45,0.15,3.5695,57.95,18.15,14.05,0.6,10<.<=20,38.333333333333336,4.4,8.3,1.1333333333333333,3.2,9.633333333333333,0.3255333333333334,0.4128666666666667,7.2,CIN,38.19178082191781,4.739726027397261,8.417808219178083,1.1575342465753424,3.3835616438356166,9.253424657534246,0.3281506849315069,0.4008150684931506,6.883561643835616
2023-09-13,KCR,Mike Clevinger,clevimi01,1.0,5.0,3.0,0.0,0.0,7.0,0.0,1.0,4.21,78.0,21.0,27.0,1.0,20<.<=30,0.0,4.75,5.5,3.25,1.5,5.75,0.5,0.5,4.375,51.0,17.25,9.0,0.5,0<.<=10,-0.1111111111111111,5.333333333333333,5.111111111111111,2.4444444444444446,1.9444444444444444,4.611111111111111,0.6666666666666666,0.2777777777777778,4.691666666666666,51.888888888888886,16.444444444444443,8.5,0.3888888888888889,0<.<=10,37.23333333333333,4.666666666666667,8.633333333333333,1.1,2.533333333333333,8.3,0.2994666666666666,0.3934666666666667,5.9,KCR,36.93835616438356,4.068493150684931,8.13013698630137,0.9863013698630136,2.4863013698630136,8.623287671232877,0.2900205479452055,0.3685136986301369,6.232876712328767
2023-09-12,LAD,Michael Wacha,wachami01,-1.0,4.0,7.0,3.0,3.0,6.0,1.0,0.0,3.93,39.0,12.0,-1.0,0.0,.<=0,0.25,4.5,5.5,2.5,3.0,6.0,1.0,0.0,3.8274999999999997,49.5,15.5,8.75,0.25,0<.<=10,0.3333333333333333,5.277777777777778,4.611111111111111,1.8333333333333333,1.8888888888888888,5.277777777777778,0.6111111111111112,0.1111111111111111,3.8311111111111114,56.44444444444444,16.72222222222222,12.722222222222221,0.5555555555555556,10<.<=20,39.1,5.466666666666667,9.633333333333333,1.4333333333333331,3.9,7.866666666666666,0.3395,0.4566999999999999,7.733333333333333,LAD,39.2027972027972,5.65034965034965,8.776223776223777,1.5664335664335665,4.146853146853147,8.447552447552448,0.3355384615384615,0.4566713286713287,7.258741258741258
