Date,Opp,points,pitcher,code,Dec_1,DR_1,H_1,ER_1,BB_1,SO_1,HR_1,HBP_1,FIP_1,Outs_1,points_1,QS_1,bucket_1,Dec_5,DR_5,H_5,ER_5,BB_5,SO_5,HR_5,HBP_5,FIP_5,Outs_5,points_5,QS_5,bucket_5,Dec_all,DR_all,H_all,ER_all,BB_all,SO_all,HR_all,HBP_all,FIP_all,Outs_all,points_all,QS_all,bucket_all,bucket
2023-04-11,LAA,5,Josiah Gray,grayjo03,-1.0,4.0,8.0,1.0,1.0,6.0,0.0,0.0,5.8,18.0,10.0,1.0,0<.<=10,-1.0,4.0,8.0,1.0,1.0,6.0,0.0,0.0,5.8,18.0,10.0,1.0,0<.<=10,-1.0,4.0,8.0,1.0,1.0,6.0,0.0,0.0,5.8,18.0,10.0,1.0,0<.<=10,
2023-04-18,BAL,5,Josiah Gray,grayjo03,-1.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,6.08,17.0,5.0,0.0,0<.<=10,-1.0,4.0,6.0,1.5,1.5,4.5,0.5,1.0,5.9399999999999995,17.5,7.5,0.5,0<.<=10,-1.0,4.0,6.0,1.5,1.5,4.5,0.5,1.0,5.9399999999999995,17.5,7.5,0.5,0<.<=10,0<.<=10
2023-04-25,NYM,25,Josiah Gray,grayjo03,-1.0,6.0,4.0,1.0,4.0,3.0,0.0,0.0,5.7,15.0,5.0,0.0,0<.<=10,-1.0,4.666666666666667,5.333333333333333,1.3333333333333333,2.3333333333333335,4.0,0.3333333333333333,0.6666666666666666,5.859999999999999,16.666666666666668,6.666666666666667,0.3333333333333333,0<.<=10,-1.0,4.666666666666667,5.333333333333333,1.3333333333333333,2.3333333333333335,4.0,0.3333333333333333,0.6666666666666666,5.859999999999999,16.666666666666668,6.666666666666667,0.3333333333333333,0<.<=10,20<.<=30
2023-04-30,PIT,19,Josiah Gray,grayjo03,1.0,6.0,4.0,0.0,1.0,9.0,0.0,0.0,4.63,18.0,25.0,1.0,20<.<=30,-0.5,5.0,5.0,1.0,2.0,5.25,0.25,0.5,5.552499999999999,17.0,11.25,0.5,10<.<=20,-0.5,5.0,5.0,1.0,2.0,5.25,0.25,0.5,5.552499999999999,17.0,11.25,0.5,10<.<=20,10<.<=20
2023-05-05,ARI,3,Josiah Gray,grayjo03,1.0,4.0,3.0,1.0,3.0,6.0,0.0,0.0,4.3,18.0,19.0,1.0,10<.<=20,-0.2,4.8,4.6,1.0,2.2,5.4,0.2,0.4,5.302,17.2,12.8,0.6,10<.<=20,-0.2,4.8,4.6,1.0,2.2,5.4,0.2,0.4,5.302,17.2,12.8,0.6,10<.<=20,0<.<=10
2023-05-10,SFG,14,Josiah Gray,grayjo03,-1.0,4.0,7.0,3.0,2.0,6.0,1.0,0.0,4.34,15.0,3.0,0.0,0<.<=10,-0.2,4.8,4.4,1.4,2.4,5.4,0.4,0.4,5.01,16.6,11.4,0.4,10<.<=20,-0.3333333333333333,4.666666666666667,5.0,1.3333333333333333,2.1666666666666665,5.5,0.3333333333333333,0.3333333333333333,5.141666666666667,16.833333333333332,11.166666666666666,0.5,10<.<=20,10<.<=20
2023-05-16,MIA,14,Josiah Gray,grayjo03,1.0,4.0,5.0,2.0,4.0,3.0,0.0,0.0,4.31,21.0,14.0,1.0,10<.<=20,0.2,4.8,4.6,1.4,2.8,5.4,0.2,0.0,4.656,17.4,13.2,0.6,10<.<=20,-0.14285714285714285,4.571428571428571,5.0,1.4285714285714286,2.4285714285714284,5.142857142857143,0.2857142857142857,0.2857142857142857,5.022857142857142,17.428571428571427,11.571428571428571,0.5714285714285714,10<.<=20,10<.<=20
2023-05-21,DET,9,Josiah Gray,grayjo03,0.0,5.0,7.0,1.0,3.0,5.0,0.0,0.0,4.15,21.0,14.0,1.0,10<.<=20,0.4,4.6,5.2,1.4,2.6,5.8,0.2,0.0,4.345999999999999,18.6,15.0,0.8,10<.<=20,-0.125,4.625,5.25,1.375,2.5,5.125,0.25,0.25,4.91375,17.875,11.875,0.625,10<.<=20,0<.<=10
2023-05-27,KCR,5,Josiah Gray,grayjo03,1.0,4.0,3.0,1.0,6.0,2.0,0.0,0.0,4.31,15.0,9.0,0.0,0<.<=10,0.4,4.2,5.0,1.6,3.6,4.4,0.2,0.0,4.282,18.0,11.8,0.6,10<.<=20,0.0,4.555555555555555,5.0,1.3333333333333333,2.888888888888889,4.777777777777778,0.2222222222222222,0.2222222222222222,4.846666666666668,17.555555555555557,11.555555555555555,0.5555555555555556,10<.<=20,0<.<=10
2023-06-02,PHI,4,Josiah Gray,grayjo03,0.0,5.0,4.0,2.0,3.0,4.0,1.0,0.0,4.47,12.0,5.0,0.0,0<.<=10,0.2,4.4,5.2,1.8,3.6,4.0,0.4,0.0,4.316,16.8,9.0,0.4,0<.<=10,0.0,4.6,4.9,1.4,2.9,4.7,0.3,0.2,4.809,17.0,10.9,0.5,10<.<=20,0<.<=10
2023-06-09,ATL,13,Josiah Gray,grayjo03,0.0,5.0,6.0,4.0,2.0,4.0,2.0,0.0,4.73,16.0,4.0,0.0,0<.<=10,0.4,4.6,5.0,2.0,3.6,3.6,0.6,0.0,4.394,17.0,9.2,0.4,0<.<=10,0.0,4.636363636363637,5.0,1.6363636363636365,2.8181818181818183,4.636363636363637,0.45454545454545453,0.18181818181818182,4.801818181818183,16.90909090909091,10.272727272727273,0.45454545454545453,10<.<=20,10<.<=20
2023-06-14,HOU,11,Josiah Gray,grayjo03,0.0,6.0,2.0,1.0,4.0,6.0,0.0,0.0,4.63,15.0,13.0,0.0,10<.<=20,0.2,5.0,4.4,1.8,3.6,4.2,0.6,0.0,4.458,15.8,9.0,0.2,0<.<=10,0.0,4.75,4.75,1.5833333333333333,2.9166666666666665,4.75,0.4166666666666667,0.16666666666666666,4.7875000000000005,16.75,10.5,0.4166666666666667,10<.<=20,10<.<=20
