Date,Opp,Dec,DR,H,ER,BB,SO,HR,HBP,FIP,GSc,2B,Outs,points,QS,pitcher,code
2023-04-05,ATL,-1,5,9,5,1,6,1,0,2.72,39,2,18,1,0.0,Miles Mikolas,mikolmi01
2023-04-11,COL,0,5,10,6,2,3,3,0,5.63,24,1,15,-6,0.0,Miles Mikolas,mikolmi01
2023-04-16,PIT,0,4,7,2,2,4,0,0,4.86,47,1,17,8,0.0,Miles Mikolas,mikolmi01
2023-04-22,SEA,0,5,5,3,2,4,2,0,5.47,48,2,16,7,0.0,Miles Mikolas,mikolmi01
2023-04-27,SFG,1,4,4,0,2,6,0,1,4.93,69,1,19,21,1.0,Miles Mikolas,mikolmi01
2023-05-03,LAA,0,5,8,3,0,5,1,1,4.84,46,0,17,7,0.0,Miles Mikolas,mikolmi01
2023-05-08,CHC,0,4,4,1,3,7,0,0,4.56,55,1,13,11,0.0,Miles Mikolas,mikolmi01
2023-05-14,BOS,1,5,4,1,2,0,0,0,4.52,58,1,18,13,1.0,Miles Mikolas,mikolmi01
2023-05-20,LAD,0,5,6,3,0,2,1,0,4.52,55,2,21,11,1.0,Miles Mikolas,mikolmi01
2023-05-25,CIN,1,4,5,0,0,5,0,0,4.22,72,0,21,24,1.0,Miles Mikolas,mikolmi01
2023-05-30,KCR,1,4,3,0,1,10,0,1,3.91,85,0,24,32,1.0,Miles Mikolas,mikolmi01
2023-06-04,PIT,-1,4,10,2,0,2,0,0,3.81,41,1,15,0,0.0,Miles Mikolas,mikolmi01
2023-06-10,CIN,-1,5,7,5,2,2,0,1,3.83,38,2,18,-3,0.0,Miles Mikolas,mikolmi01
2023-06-16,NYM,-1,5,8,6,1,1,1,1,3.99,32,1,18,-6,0.0,Miles Mikolas,mikolmi01
2023-06-21,WSN,-1,4,8,2,1,3,1,0,4.04,55,2,21,8,1.0,Miles Mikolas,mikolmi01
2023-06-28,HOU,0,6,7,5,3,4,0,0,4.0,36,4,17,1,0.0,Miles Mikolas,mikolmi01
2023-07-03,MIA,0,4,4,4,2,2,0,0,3.98,49,2,19,7,0.0,Miles Mikolas,mikolmi01
2023-07-08,CHW,1,4,4,0,0,6,0,0,3.83,75,0,21,26,1.0,Miles Mikolas,mikolmi01
2023-07-14,WSN,0,5,0,0,0,2,0,0,3.78,61,0,9,11,0.0,Miles Mikolas,mikolmi01
2023-07-17,MIA,1,2,7,3,0,3,2,0,3.92,49,1,18,11,1.0,Miles Mikolas,mikolmi01
2023-07-22,CHC,0,4,11,5,1,3,0,0,3.87,27,3,15,-4,0.0,Miles Mikolas,mikolmi01
2023-07-27,CHC,-1,4,0,1,0,1,0,1,3.87,49,0,2,-3,0.0,Miles Mikolas,mikolmi01
2023-08-01,MIN,-1,4,6,2,1,7,0,0,3.76,61,2,21,14,1.0,Miles Mikolas,mikolmi01
2023-08-08,TBR,-1,6,8,2,0,5,1,0,3.76,58,0,21,11,1.0,Miles Mikolas,mikolmi01
2023-08-14,OAK,0,5,5,4,3,4,1,1,3.85,48,0,19,6,0.0,Miles Mikolas,mikolmi01
2023-08-19,NYM,-1,4,7,7,2,4,2,0,3.99,24,2,14,-8,0.0,Miles Mikolas,mikolmi01
2023-08-25,PHI,-1,5,8,5,0,3,1,0,4.01,39,5,18,0,0.0,Miles Mikolas,mikolmi01
2023-08-30,SDP,0,4,7,3,2,2,0,0,3.99,46,1,18,5,1.0,Miles Mikolas,mikolmi01
2023-09-05,ATL,1,5,8,3,2,2,3,0,4.2,46,1,20,9,1.0,Miles Mikolas,mikolmi01
2023-09-10,CIN,-1,4,7,5,1,2,2,0,4.31,35,1,16,-3,0.0,Miles Mikolas,mikolmi01
2023-09-16,PHI,-1,5,8,5,0,2,1,0,4.33,38,1,18,-1,0.0,Miles Mikolas,mikolmi01
2023-04-07,LAA,1,4,3,2,5,5,1,0,10.76,56,0,18,14,1.0,Chris Bassitt,bassich01
2023-04-13,DET,-1,5,4,2,3,7,0,1,7.69,60,3,18,10,1.0,Chris Bassitt,bassich01
2023-04-18,HOU,1,4,3,0,1,5,0,0,6.08,71,1,19,23,1.0,Chris Bassitt,bassich01
2023-04-24,CHW,1,5,3,2,3,4,0,1,5.58,60,1,19,15,1.0,Chris Bassitt,bassich01
2023-04-30,SEA,0,5,2,4,4,7,1,1,5.65,50,0,15,7,0.0,Chris Bassitt,bassich01
2023-05-05,PIT,1,4,4,0,4,5,0,0,5.29,70,1,21,21,1.0,Chris Bassitt,bassich01
2023-05-12,ATL,1,6,2,0,2,8,0,2,4.83,89,1,27,32,1.0,Chris Bassitt,bassich01
2023-05-17,NYY,0,4,3,0,1,7,0,1,4.49,77,0,21,23,1.0,Chris Bassitt,bassich01
2023-05-22,TBR,-1,4,7,2,1,4,3,0,4.91,46,1,19,8,1.0,Chris Bassitt,bassich01
2023-05-27,MIN,-1,4,9,7,2,5,2,1,5.19,19,2,12,-12,0.0,Chris Bassitt,bassich01
2023-06-02,NYM,1,5,4,0,0,8,0,0,4.77,79,1,23,30,1.0,Chris Bassitt,bassich01
2023-06-07,HOU,1,4,4,2,0,5,1,0,4.66,71,0,24,24,1.0,Chris Bassitt,bassich01
2023-06-13,BAL,-1,5,11,8,1,5,3,0,4.99,9,3,9,-17,0.0,Chris Bassitt,bassich01
2023-06-18,TEX,0,4,7,3,3,2,0,0,4.97,30,3,11,-3,0.0,Chris Bassitt,bassich01
2023-06-23,OAK,0,4,5,4,2,4,1,1,5.03,43,0,15,3,0.0,Chris Bassitt,bassich01
2023-06-29,SFG,1,5,3,0,3,12,0,1,4.81,75,0,18,26,1.0,Chris Bassitt,bassich01
2023-07-04,CHW,0,4,6,3,1,5,1,1,4.8,52,0,18,9,1.0,Chris Bassitt,bassich01
2023-07-09,DET,0,4,9,3,0,4,1,0,4.79,36,2,12,1,0.0,Chris Bassitt,bassich01
2023-07-15,ARI,1,5,7,2,0,5,0,0,4.63,55,1,18,15,1.0,Chris Bassitt,bassich01
2023-07-20,SDP,1,4,4,0,1,5,0,1,4.53,68,0,18,20,1.0,Chris Bassitt,bassich01
2023-07-25,LAD,0,4,4,2,4,6,1,0,4.58,53,1,15,9,0.0,Chris Bassitt,bassich01
2023-07-31,BAL,-1,5,7,4,2,7,1,0,4.56,47,2,18,5,0.0,Chris Bassitt,bassich01
2023-08-06,BOS,1,5,7,1,3,6,1,0,4.56,62,2,21,18,1.0,Chris Bassitt,bassich01
2023-08-12,CHC,0,5,4,4,2,6,1,0,4.56,52,1,18,10,0.0,Chris Bassitt,bassich01
2023-08-19,CIN,1,6,3,2,1,6,1,0,4.53,61,1,18,19,1.0,Chris Bassitt,bassich01
2023-08-25,CLE,-1,5,7,4,2,5,2,0,4.63,42,3,17,2,0.0,Chris Bassitt,bassich01
2023-08-30,WSN,1,4,3,0,1,3,0,1,4.56,78,1,24,25,1.0,Chris Bassitt,bassich01
2023-09-05,OAK,1,5,7,1,0,7,0,0,4.42,71,2,24,25,1.0,Chris Bassitt,bassich01
2023-09-11,TEX,-1,5,9,5,3,3,1,0,4.47,30,1,16,-6,0.0,Chris Bassitt,bassich01
2023-09-16,BOS,0,4,4,2,3,5,1,0,4.49,63,1,21,15,1.0,Chris Bassitt,bassich01
2023-04-05,SFG,1,5,1,1,5,8,1,0,2.82,64,0,15,18,0.0,Dylan Cease,ceasedy01
2023-04-10,MIN,1,4,3,1,2,6,0,2,2.95,57,0,15,15,0.0,Dylan Cease,ceasedy01
2023-04-16,BAL,0,5,6,2,5,5,0,0,3.26,48,0,18,8,1.0,Dylan Cease,ceasedy01
2023-04-22,TBR,0,5,6,3,1,5,1,1,3.6,42,0,12,3,0.0,Dylan Cease,ceasedy01
2023-04-27,TBR,-1,4,9,6,2,3,1,0,3.99,19,1,12,-11,0.0,Dylan Cease,ceasedy01
2023-05-03,MIN,0,5,5,4,4,6,1,0,4.25,43,2,15,4,0.0,Dylan Cease,ceasedy01
2023-05-08,KCR,-1,4,9,7,1,6,1,1,4.3,26,2,15,-7,0.0,Dylan Cease,ceasedy01
2023-05-13,HOU,0,4,4,0,2,5,0,0,4.08,67,0,18,17,1.0,Dylan Cease,ceasedy01
2023-05-18,CLE,-1,4,5,3,1,3,1,0,4.17,53,1,19,7,1.0,Dylan Cease,ceasedy01
2023-05-23,CLE,1,4,5,2,2,3,1,0,4.3,55,2,18,13,1.0,Dylan Cease,ceasedy01
2023-05-28,DET,0,4,4,4,4,8,1,0,4.38,42,1,12,4,0.0,Dylan Cease,ceasedy01
2023-06-03,DET,0,5,2,1,3,6,0,0,4.25,63,0,16,15,0.0,Dylan Cease,ceasedy01
2023-06-09,MIA,0,5,4,1,2,7,1,0,4.23,65,1,18,17,1.0,Dylan Cease,ceasedy01
2023-06-15,LAD,0,5,4,2,3,10,0,0,4.03,59,0,16,15,0.0,Dylan Cease,ceasedy01
2023-06-20,TEX,0,4,5,2,2,9,1,0,3.99,61,2,18,16,1.0,Dylan Cease,ceasedy01
2023-06-26,LAA,0,5,5,1,0,10,1,0,3.86,68,0,18,21,1.0,Dylan Cease,ceasedy01
2023-07-01,OAK,0,4,6,3,3,5,0,0,3.82,46,1,16,6,0.0,Dylan Cease,ceasedy01
2023-07-07,STL,0,5,11,5,0,8,1,0,3.76,38,2,18,5,0.0,Dylan Cease,ceasedy01
2023-07-16,ATL,1,8,3,1,3,6,0,1,3.73,60,0,15,15,0.0,Dylan Cease,ceasedy01
2023-07-22,MIN,0,5,3,1,2,9,0,0,3.6,69,2,18,20,1.0,Dylan Cease,ceasedy01
2023-07-27,CLE,-1,4,9,4,2,5,0,0,3.55,38,3,17,0,0.0,Dylan Cease,ceasedy01
2023-08-02,TEX,-1,5,7,7,3,1,1,1,3.74,11,1,5,-22,0.0,Dylan Cease,ceasedy01
2023-08-07,NYY,1,4,1,0,7,6,0,0,3.79,65,0,16,17,0.0,Dylan Cease,ceasedy01
2023-08-13,MIL,-1,5,5,2,2,7,0,0,3.7,64,1,21,14,1.0,Dylan Cease,ceasedy01
2023-08-20,COL,0,6,7,4,2,6,1,1,3.76,36,0,14,2,0.0,Dylan Cease,ceasedy01
2023-08-25,OAK,-1,4,9,8,5,6,0,0,3.77,12,2,13,-14,0.0,Dylan Cease,ceasedy01
2023-08-30,BAL,1,4,6,5,3,7,1,1,3.82,44,2,18,8,0.0,Dylan Cease,ceasedy01
2023-09-05,KCR,0,5,8,4,2,7,3,0,4.0,39,1,16,5,0.0,Dylan Cease,ceasedy01
2023-09-12,KCR,1,6,4,1,1,8,0,0,3.9,63,1,16,20,0.0,Dylan Cease,ceasedy01
2023-09-17,MIN,-1,4,4,3,3,5,1,0,3.94,54,1,18,7,1.0,Dylan Cease,ceasedy01
2023-04-05,PHI,1,5,3,1,3,8,0,0,1.4,68,1,19,22,1.0,Gerrit Cole,colege01
2023-04-11,CLE,1,5,5,2,2,3,0,0,2.07,60,2,21,16,1.0,Gerrit Cole,colege01
2023-04-16,MIN,1,4,2,0,1,10,0,0,1.85,92,0,27,37,1.0,Gerrit Cole,colege01
2023-04-22,TOR,0,5,4,0,2,4,0,1,2.11,63,2,17,14,0.0,Gerrit Cole,colege01
2023-04-27,TEX,1,4,6,2,1,8,0,0,1.98,61,2,20,20,1.0,Gerrit Cole,colege01
2023-05-02,CLE,0,4,5,2,3,8,0,1,2.06,59,1,18,13,1.0,Gerrit Cole,colege01
2023-05-07,TBR,0,4,8,5,2,6,2,0,2.56,33,2,15,1,0.0,Gerrit Cole,colege01
2023-05-12,TBR,0,4,5,2,2,4,2,0,3.05,51,0,15,8,0.0,Gerrit Cole,colege01
2023-05-17,TOR,0,4,7,0,2,6,0,0,2.97,62,1,18,15,1.0,Gerrit Cole,colege01
2023-05-23,BAL,0,5,6,5,3,2,2,0,3.45,34,1,15,-2,0.0,Gerrit Cole,colege01
2023-05-28,SDP,1,4,4,5,3,9,2,0,3.67,48,0,18,13,0.0,Gerrit Cole,colege01
2023-06-03,LAD,1,5,4,1,2,5,0,1,3.62,63,0,18,17,1.0,Gerrit Cole,colege01
2023-06-09,BOS,-1,5,7,2,1,6,1,1,3.68,55,1,18,8,1.0,Gerrit Cole,colege01
2023-06-14,NYM,0,4,4,1,0,8,0,0,3.48,68,2,18,20,1.0,Gerrit Cole,colege01
2023-06-20,SEA,1,5,4,1,1,8,0,1,3.36,73,1,22,25,1.0,Gerrit Cole,colege01
2023-06-25,TEX,0,4,9,3,1,7,1,0,3.38,40,4,14,5,0.0,Gerrit Cole,colege01
2023-07-02,STL,-1,6,6,2,2,5,0,1,3.36,55,1,18,7,1.0,Gerrit Cole,colege01
2023-07-08,CHC,1,5,5,3,1,5,1,0,3.41,60,1,22,18,1.0,Gerrit Cole,colege01
2023-07-16,COL,0,7,2,1,1,11,1,0,3.35,74,0,18,24,1.0,Gerrit Cole,colege01
2023-07-22,KCR,0,5,5,2,1,10,1,0,3.31,64,0,19,19,1.0,Gerrit Cole,colege01
