date,name,code,for,against
2023-09-18 17:23:05.000971,Cal Quantrill,quantca01,CLE,KCR
2023-09-18 17:23:05.001013,Brady Singer,singebr01,KCR,CLE
2023-09-18 17:23:05.005233,Joe Ryan,ryanjo04,MIN,CIN
2023-09-18 17:23:05.005254,Connor Phillips,phillco01,CIN,MIN
2023-09-18 17:23:05.010444,José Butto,buttojo01,NYM,MIA
2023-09-18 17:23:05.010463,Edward Cabrera,cabreed02,MIA,NYM
2023-09-18 17:23:05.013479,Mike Clevinger,clevimi01,CHW,WSN
2023-09-18 17:23:05.013496,Joan Adon,adonjo01,WSN,CHW
2023-09-18 17:23:05.018293,Zack Wheeler,wheelza01,PHI,ATL
2023-09-18 17:23:05.018317,Kyle Wright,wrighky01,ATL,PHI
2023-09-18 17:23:05.021913,Freddy Peralta,peralfr01,MIL,STL
2023-09-18 17:23:05.021931,Adam Wainwright,wainwad01,STL,MIL
2023-09-18 17:23:05.026932,Kutter Crawford,crawfku01,BOS,TEX
2023-09-18 17:23:05.026952,Jordan Montgomery,montgjo01,TEX,BOS
2023-09-18 17:23:05.029866,John Means,meansjo01,BAL,HOU
2023-09-18 17:23:05.029883,Justin Verlander,verlaju01,HOU,BAL
2023-09-18 17:23:05.035116,Bryan Woo,woobr01,SEA,OAK
2023-09-18 17:23:05.035133,JP Sears,searsjp01,OAK,SEA
2023-09-18 17:23:05.037907,Michael Wacha,wachami01,SDP,
2023-09-18 17:23:05.037922,,,,SDP
2023-09-18 17:23:05.043331,Eduardo Rodriguez,rodried05,DET,LAD
2023-09-18 17:23:05.043357,Lance Lynn,lynnla01,LAD,DET
