bucket,Date,Opp,pitcher,code,Dec_1,DR_1,H_1,ER_1,BB_1,SO_1,HR_1,HBP_1,FIP_1,GSc_1,2B_1,Outs_1,points_1,QS_1,bucket_1,Dec_4,DR_4,H_4,ER_4,BB_4,SO_4,HR_4,HBP_4,FIP_4,GSc_4,2B_4,Outs_4,points_4,QS_4,bucket_4,Dec_all,DR_all,H_all_pitcher,ER_all,BB_all_pitcher,SO_all_pitcher,HR_all_pitcher,HBP_all,FIP_all,GSc_all,2B_all,Outs_all,points_all,QS_all,bucket_all,Team,PA_30,R_30,H_30,HR_30,BB_30,SO_30,OBP_30,SLG_30,LOB_30,PA_all,R_all,H_all_opp,HR_all_opp,BB_all_opp,SO_all_opp,OBP_all,SLG_all,LOB_all
.<=0,2023-04-11,COL,Miles Mikolas,mikolmi01,-1.0,5.0,9.0,5.0,1.0,6.0,1.0,0.0,2.72,39.0,2.0,18.0,1.0,0.0,0<.<=12,-1.0,5.0,9.0,5.0,1.0,6.0,1.0,0.0,2.72,39.0,2.0,18.0,1.0,0.0,0<.<=12,-1.0,5.0,9.0,5.0,1.0,6.0,1.0,0.0,2.72,39.0,2.0,18.0,1.0,0.0,0<.<=12,COL,37.27272727272727,4.363636363636363,9.272727272727272,0.9090909090909092,2.272727272727273,8.545454545454545,0.3208181818181818,0.4506363636363636,6.727272727272728,37.27272727272727,4.363636363636363,9.272727272727272,0.9090909090909092,2.272727272727273,8.545454545454545,0.3208181818181818,0.4506363636363636,6.727272727272728
0<.<=12,2023-04-16,PIT,Miles Mikolas,mikolmi01,0.0,5.0,10.0,6.0,2.0,3.0,3.0,0.0,5.63,24.0,1.0,15.0,-6.0,0.0,.<=0,-0.5,5.0,9.5,5.5,1.5,4.5,2.0,0.0,4.175,31.5,1.5,16.5,-2.5,0.0,.<=0,-0.5,5.0,9.5,5.5,1.5,4.5,2.0,0.0,4.175,31.5,1.5,16.5,-2.5,0.0,.<=0,PIT,37.53333333333333,4.133333333333334,7.733333333333333,1.2666666666666666,3.8666666666666663,8.333333333333334,0.3118666666666667,0.3860666666666666,6.8,37.53333333333333,4.133333333333334,7.733333333333333,1.2666666666666666,3.8666666666666663,8.333333333333334,0.3118666666666667,0.3860666666666666,6.8
0<.<=12,2023-04-22,SEA,Miles Mikolas,mikolmi01,0.0,4.0,7.0,2.0,2.0,4.0,0.0,0.0,4.86,47.0,1.0,17.0,8.0,0.0,0<.<=12,-0.3333333333333333,4.666666666666667,8.666666666666666,4.333333333333333,1.6666666666666667,4.333333333333333,1.3333333333333333,0.0,4.403333333333333,36.666666666666664,1.3333333333333333,16.666666666666668,1.0,0.0,0<.<=12,-0.3333333333333333,4.666666666666667,8.666666666666666,4.333333333333333,1.6666666666666667,4.333333333333333,1.3333333333333333,0.0,4.403333333333333,36.666666666666664,1.3333333333333333,16.666666666666668,1.0,0.0,0<.<=12,SEA,38.05,4.5,7.7,0.95,3.3,9.05,0.2916499999999999,0.3697499999999999,6.75,38.05,4.5,7.7,0.95,3.3,9.05,0.2916499999999999,0.3697499999999999,6.75
12<.<=24,2023-04-27,SFG,Miles Mikolas,mikolmi01,0.0,5.0,5.0,3.0,2.0,4.0,2.0,0.0,5.47,48.0,2.0,16.0,7.0,0.0,0<.<=12,-0.25,4.75,7.75,4.0,1.75,4.25,1.5,0.0,4.67,39.5,1.5,16.5,2.5,0.0,0<.<=12,-0.25,4.75,7.75,4.0,1.75,4.25,1.5,0.0,4.67,39.5,1.5,16.5,2.5,0.0,0<.<=12,SFG,38.79166666666666,4.625,8.375,1.5833333333333333,3.4166666666666665,10.666666666666666,0.3237916666666667,0.4162916666666666,7.458333333333333,38.79166666666666,4.625,8.375,1.5833333333333333,3.4166666666666665,10.666666666666666,0.3237916666666667,0.4162916666666666,7.458333333333333
0<.<=12,2023-05-03,LAA,Miles Mikolas,mikolmi01,1.0,4.0,4.0,0.0,2.0,6.0,0.0,1.0,4.93,69.0,1.0,19.0,21.0,1.0,12<.<=24,0.25,4.5,6.5,2.75,2.0,4.25,1.25,0.25,5.2225,47.0,1.25,16.75,7.5,0.25,0<.<=12,0.0,4.6,7.0,3.2,1.8,4.6,1.2,0.2,4.7219999999999995,45.4,1.4,17.0,6.2,0.2,0<.<=12,LAA,38.266666666666666,5.1,8.466666666666667,1.3333333333333333,3.433333333333333,8.433333333333334,0.3303,0.3914666666666667,6.766666666666667,38.266666666666666,5.1,8.466666666666667,1.3333333333333333,3.433333333333333,8.433333333333334,0.3303,0.3914666666666667,6.766666666666667
0<.<=12,2023-05-08,CHC,Miles Mikolas,mikolmi01,0.0,5.0,8.0,3.0,0.0,5.0,1.0,1.0,4.84,46.0,0.0,17.0,7.0,0.0,0<.<=12,0.25,4.5,6.0,2.0,1.5,4.75,0.75,0.5,5.025,52.5,1.0,17.25,10.75,0.25,0<.<=12,0.0,4.666666666666667,7.166666666666667,3.1666666666666665,1.5,4.666666666666667,1.1666666666666667,0.3333333333333333,4.741666666666666,45.5,1.1666666666666667,17.0,6.333333333333333,0.16666666666666666,0<.<=12,CHC,39.16666666666666,5.066666666666666,9.5,1.2333333333333334,3.466666666666667,8.866666666666667,0.3444,0.4316,7.566666666666666,38.94117647058823,4.941176470588236,9.323529411764708,1.2058823529411764,3.411764705882353,8.735294117647058,0.3381470588235294,0.4144705882352941,7.5
12<.<=24,2023-05-14,BOS,Miles Mikolas,mikolmi01,0.0,4.0,4.0,1.0,3.0,7.0,0.0,0.0,4.56,55.0,1.0,13.0,11.0,0.0,0<.<=12,0.25,4.5,5.25,1.75,1.75,5.5,0.75,0.5,4.949999999999999,54.5,1.0,16.25,11.5,0.25,0<.<=12,0.0,4.571428571428571,6.714285714285714,2.857142857142857,1.7142857142857142,5.0,1.0,0.2857142857142857,4.715714285714285,46.857142857142854,1.1428571428571428,16.428571428571427,7.0,0.14285714285714285,0<.<=12,BOS,38.5,5.533333333333333,9.533333333333331,1.2,3.2,8.066666666666666,0.3309666666666667,0.4336333333333332,6.833333333333333,38.575,5.625,9.25,1.275,3.3,7.85,0.33765,0.4482749999999999,6.7
0<.<=12,2023-05-20,LAD,Miles Mikolas,mikolmi01,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,4.52,58.0,1.0,18.0,13.0,1.0,12<.<=24,0.5,4.5,5.0,1.25,1.75,4.5,0.25,0.5,4.7124999999999995,57.0,0.75,16.75,13.0,0.5,12<.<=24,0.125,4.625,6.375,2.625,1.75,4.375,0.875,0.25,4.69125,48.25,1.125,16.625,7.75,0.25,0<.<=12,LAD,38.53333333333333,5.5,7.833333333333333,1.6,4.166666666666667,8.566666666666666,0.3266666666666666,0.4496999999999999,6.866666666666666,38.47826086956522,5.434782608695652,7.717391304347826,1.6304347826086956,4.456521739130435,8.956521739130435,0.340195652173913,0.462891304347826,6.869565217391305
12<.<=24,2023-05-25,CIN,Miles Mikolas,mikolmi01,0.0,5.0,6.0,3.0,0.0,2.0,1.0,0.0,4.52,55.0,2.0,21.0,11.0,1.0,0<.<=12,0.25,4.75,5.5,2.0,1.25,3.5,0.5,0.25,4.609999999999999,53.5,1.0,17.25,10.5,0.5,0<.<=12,0.1111111111111111,4.666666666666667,6.333333333333333,2.6666666666666665,1.5555555555555556,4.111111111111111,0.8888888888888888,0.2222222222222222,4.672222222222222,49.0,1.2222222222222223,17.11111111111111,8.11111111111111,0.3333333333333333,0<.<=12,CIN,37.73333333333333,4.366666666666666,8.533333333333333,0.7666666666666667,3.3,8.833333333333334,0.3218666666666666,0.3653333333333333,6.933333333333334,37.6530612244898,4.408163265306122,8.26530612244898,0.7755102040816326,3.489795918367347,9.122448979591836,0.3238367346938776,0.3871632653061224,6.918367346938775
24<.<=36,2023-05-30,KCR,Miles Mikolas,mikolmi01,1.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,4.22,72.0,0.0,21.0,24.0,1.0,12<.<=24,0.5,4.5,4.75,1.25,1.25,3.5,0.25,0.0,4.454999999999999,60.0,1.0,18.25,14.75,0.75,12<.<=24,0.2,4.6,6.2,2.4,1.4,4.2,0.8,0.2,4.627,51.3,1.1,17.5,9.7,0.4,0<.<=12,KCR,38.06666666666667,4.6,8.333333333333334,1.2666666666666666,3.1666666666666665,9.166666666666666,0.2922333333333333,0.3789333333333333,7.0,37.2,4.0,7.8545454545454545,1.018181818181818,2.7454545454545456,9.090909090909092,0.2791636363636363,0.3449272727272727,6.509090909090909
